XTSE/NKO_NT,Niko Resources Ltd. (NKO.NT) Adjusted Stock Prices
XTSE/ERO,Barclays Bank PLC (ERO) Adjusted Stock Prices
XTSE/VYE,Viceroy Exploration Ltd (VYE) Adjusted Stock Prices
XTSE/AQL,Aeroquest International Ltd. (AQL) Adjusted Stock Prices
XTSE/NNO,"Northern Orion Resources, Inc. (NNO) Adjusted Stock Prices"
XTSE/ADS_RT,Adaltis Inc (ADS.RT) Adjusted Stock Prices
XTSE/TWF_RT,Timberwest Forest Corp. (TWF.RT) Adjusted Stock Prices
XTSE/RY_NO_K,Royal Bank Of Canada (RY.NO.K) Adjusted Stock Prices
XTSE/MGN,Magnotta Winery Corp. (MGN) Adjusted Stock Prices
XTSE/DCD_RT,First Asset Diversified Convertible Debenture Fund (DCD.RT) Adjusted Stock Prices
XTSE/IVA_A,Ivaco Inc. (IVA.A) Adjusted Stock Prices
XTSE/FCR_DB_B,"First Capital Realty, Inc. (FCR.DB.B) Adjusted Stock Prices"
XTSE/SXT,Sixty Split Corp. (SXT) Adjusted Stock Prices
XTSE/IVA_PR_J,Ivaco Inc. (IVA.PR.J) Adjusted Stock Prices
XTSE/ITX,Iteration Energy Ltd. (ITX) Adjusted Stock Prices
XTSE/AEF,Aurora Oil & Gas Ltd. (AEF) Adjusted Stock Prices
XTSE/RY_NO_Z,Royal Bank Of Canada (RY.NO.Z) Adjusted Stock Prices
XTSE/AC_A,Air Canada Inc. (AC.A) Adjusted Stock Prices
XTSE/MG_B,Magna International Inc.
XTSE/OGE_WT,OLeary Global Equity Income Fund (OGE.WT) Adjusted Stock Prices
XTSE/TZT_WT,Tranzeo Wireless Technologies Inc. (TZT.WT) Adjusted Stock Prices
XTSE/UML,Uranium Limited (UML) Adjusted Stock Prices
XTSE/TUI_DB,True Energy Trust (TUI.DB) Adjusted Stock Prices
XTSE/ARA_PR_B,Art Advanced Research Technologies Inc. (ARA.PR.B) Adjusted Stock Prices
XTSE/MEE_A,"M8 Entertainment, Inc. (MEE.A) Adjusted Stock Prices"
XTSE/LRT_NT,Lanesborough Real Estate Investment Trust (LRT.NT) Adjusted Stock Prices
XTSE/CBK_WT_A,Copernican World Banks Income and Growth Trust. (CBK.WT.A) Adjusted Stock Prices
XTSE/PVM,Pine Valley Mining Corp. (PVM) Adjusted Stock Prices
XTSE/YRB_RT,Yorbeau Resources Inc. (YRB.RT) Adjusted Stock Prices
XTSE/SGA,Australian Solomons Gold Limited (SGA) Adjusted Stock Prices
XTSE/PMD,PreMD Inc (PMD) Adjusted Stock Prices
XTSE/SIN_WT,SCITI Trust. (SIN.WT) Adjusted Stock Prices
XTSE/ICE_DB,Versacold Income Fund (ICE.DB) Adjusted Stock Prices
XTSE/RTT,Roctest Ltee (RTT) Adjusted Stock Prices
XTSE/PLB,Paladin Labs Inc. (PLB) Adjusted Stock Prices
XTSE/ND,New Dawn Mining Corporation (ND) Adjusted Stock Prices
XTSE/WGI,Western Goldfields Inc (WGI) Adjusted Stock Prices
XTSE/ML,Mercator Minerals Ltd. (ML) Adjusted Stock Prices
XTSE/BCF,Bronco Energy Ltd. (BCF) Adjusted Stock Prices
XTSE/NI_RT,Victory Nickel Inc (NI.RT) Adjusted Stock Prices
XTSE/ASA,ACD Systems International Inc (ASA) Adjusted Stock Prices
XTSE/ONY,Oncothyreon Inc (ONY) Adjusted Stock Prices
XTSE/OLE,Oromin Explorations Ltd (OLE) Adjusted Stock Prices
XTSE/CPM_WT_A,Copernican International Premium Dividend Fund (CPM.WT.A) Adjusted Stock Prices
XTSE/AEU_RT,ACTIVEnergy Income Fund (AEU.RT) Adjusted Stock Prices
XTSE/RIG_RT,Pantera Drilling Income Trust (RIG.RT) Adjusted Stock Prices
XTSE/FGX_RT,Faircourt Gold Income Corp (FGX.RT) Adjusted Stock Prices
XTSE/MND_WT,Mandalay Resources Corp (MND.WT) Adjusted Stock Prices
XTSE/HSG,Harris Steel Group Inc. (HSG) Adjusted Stock Prices
XTSE/NGD_WT_D,New Gold Inc (NGD.WT.D) Adjusted Stock Prices
XTSE/CMP_WT_A,Goodman Gold Trust (CMP.WT.A) Adjusted Stock Prices
XTSE/TLH,Talison Lithium Limited (TLH) Adjusted Stock Prices
XTSE/CMK,Cline Mining Corp. (CMK) Adjusted Stock Prices
XTSE/NSU_WT_A,Nevsun Resources Ltd. (NSU.WT.A) Adjusted Stock Prices
XTSE/LIR,Linmor Inc. (LIR) Adjusted Stock Prices
XTSE/GBG,Great Basin Gold Ltd. (GBG) Adjusted Stock Prices
XTSE/TEO,Tesco Corp. (TEO) Adjusted Stock Prices
XTSE/AGA,Algoma Steel Inc (AGA) Adjusted Stock Prices
XTSE/CMZ_RT,Compass Income Fund (CMZ.RT) Adjusted Stock Prices
XTSE/BGO_WT_A,Bema Gold Corp. (BGO.WT.A) Adjusted Stock Prices
XTSE/XLX,Biomerge Industries Ltd (XLX) Adjusted Stock Prices
XTSE/YGA,Gastar Exploration Inc (YGA) Adjusted Stock Prices
XTSE/GPN,Gladstone Pacific Nickel (GPN) Adjusted Stock Prices
XTSE/ST_WT,Stonegate Agricom Ltd (ST.WT) Adjusted Stock Prices
XTSE/RPG_WT,Polaris Infrastructure Inc (RPG.WT) Adjusted Stock Prices
XTSE/CMH_RT,Carmanah Technologies Corp. (CMH.RT) Adjusted Stock Prices
XTSE/HR_DB_C,H&R Real Estate Investment Trust (HR.DB.C) Adjusted Stock Prices
XTSE/U_WT_A,Uranium Participation Corporation (U.WT.A) Adjusted Stock Prices
XTSE/ITP_RT,Intertape Polymer Group Inc. (ITP.RT) Adjusted Stock Prices
XTSE/VIX,Barclays Bank PLC (VIX) Adjusted Stock Prices
XTSE/CZE,C&C Energia Ltd (CZE) Adjusted Stock Prices
XTSE/K_WT_B,Kinross Gold Corp. (K.WT.B) Adjusted Stock Prices
XTSE/RYL_DB_C,Holloway Lodging Corp (RYL.DB.C) Adjusted Stock Prices
XTSE/GCA,Geocan Energy Inc. (GCA) Adjusted Stock Prices
XTSE/NRV,Excel-Tech Ltd. (NRV) Adjusted Stock Prices
XTSE/FR_WT_B,First Majestic Silver Corporation (FR.WT.B) Adjusted Stock Prices
XTSE/GIN,Glendale International Corp (GIN) Adjusted Stock Prices
XTSE/MCH,Mecachrome International Inc. (MCH) Adjusted Stock Prices
XTSE/SIM,Sirocco Mining Inc (SIM) Adjusted Stock Prices
XTSE/FRL_WT,Senior Secured Floating Rate Loan Fund (FRL.WT) Adjusted Stock Prices
XTSE/FGX_WT_B,Faircourt Gold Income Corp (FGX.WT.B) Adjusted Stock Prices
XTSE/RRZ,Rider Resources Ltd. (RRZ) Adjusted Stock Prices
XTSE/DGJ,Deutsche Bank AG London (DGJ) Adjusted Stock Prices
XTSE/PBU_WT,Precious Metals Bullion Trust (PBU.WT) Adjusted Stock Prices
XTSE/MID_RT_A,MINT Income Fund (MID.RT.A) Adjusted Stock Prices
XTSE/PLS_WT,Polaris Materials Corp (PLS.WT) Adjusted Stock Prices
XTSE/OCB_WT,O Leary Advantaged Tactical Global Corporate Bond Fund (OCB.WT) Adjusted Stock Prices
XTSE/BWC,Bridgewater Systems Corp (BWC) Adjusted Stock Prices
XTSE/CCJ_WT,Melior Resources Inc (CCJ.WT) Adjusted Stock Prices
XTSE/RY_NT_P,Royal Bank Of Canada (RY.NT.P) Adjusted Stock Prices
XTSE/AV_WT_A,Aston Hill Advantage VIP Income Fund (AV.WT.A) Adjusted Stock Prices
XTSE/TCH,Touchstone Gold Limited (TCH) Adjusted Stock Prices
